LA 	ANDES ORIGEN VENDIMIA LATA  PACK DE 4	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIG VENDIMIA CAN 6X4 473CC 4PACK y codigo 26441 con preferencia 0.9

LA 	ANDES ORIGEN FRESQUITA LATA PACK DE 4	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN FRESQUITA CAN 4X6 473CC 4P y codigo 26220 con preferencia 0.5

LA 	ANDES ORIGEN FRESQUITA RETORNABLE DE LITRO	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN FRESQUITA RET X12 1000CC y codigo 27580 con preferencia 0.4

LA 	ANDES ORIGEN IPA LATA	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA CAN 4X6 473 y codigo 19254 

LA 	ANDES ORIGEN IPA LATA PACK DE 4	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA CAN 6X4 473CC 4PACK y codigo 24961 con preferencia 0.4

LA 	ANDES ORIGEN IPA RETORNABLE DE LITRO	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA RET X12 1000 y codigo 19253 con preferencia 0.6

LA 	ANDES ORIGEN IP RETORNABLE DE 340	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA RET X24 340 y codigo 21984

LA 	ANDES ORIGEN IPA ROJA LATA	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA ROJA CAN 4X6 473CC y codigo 25224

LA 	ANDES ORIGEN IPA ROJA LATA PACK DE 4	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN IPA ROJA CAN 6X4 473CC 4P y codigo 25225

LA 	ANDES ORIGEN NEGRA LATA	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN NEGRA CAN 4X6 473 y codigo 17933

LA 	ANDES ORIGEN NEGRA LATA PACK DE 4	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN NEGRA CAN 4X6 473CC 4PACK y codigo 24374

LA 	ANDES ORIGEN NEGRA RETORNABLE DE LITRO	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN NEGRA RET X12 1000 y codigo 16666

LA 	ANDES ORIGEN ROJA LATA DE 269 PACK DE CARTON	DE MARCA 	ANDES	CON DESCRIPCION 	ANDES ORIGEN ROJA CAN 2X10 269CC CART y codigo 24011
