LA 	SEVEN UP LIMA LIMON FREE EN LATA DE 354	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7 UP LIM-LIM FREE 4X6 LAT 354	y codigo	5294	con preferencia	1

LA 	SEVEN UP LIMA LIMON FREE DESCARTABLE DE 500	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7 UP LIM-LIM FREE X12 PET 500	y codigo	1461	con preferencia	3

LA 	SEVEN UP LIMA LIMON FREE DESCARTABLE DE LITRO Y MEDIO	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7 UP LIM-LIM FREE X6 PET1500#	y codigo	7484	con preferencia	1

LA 	SEVEN UP LIMA LIMON FREE DESCARTABLE DE DOS LITROS Y CUARTO	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7 UP LIM-LIM FREE X8 PET2250	y codigo	1427	con preferencia	2

LA 	SEVEN UP FREE DESCARTABLE DE DOS LITROS	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP FREE PET X8 2000 RECO	y codigo	14622	con preferencia	1

LA 	SEVEN UP LATA	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP NF CAN 4X6 354	y codigo	21971	con preferencia	3

LA 	SEVEN UP PLATICO DE 500	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP NF PET X6 500CC	y codigo	25644	con preferencia	2

LA 	SEVEN UP PLATICO DE MEDIO LITRO	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP NF PET X6 500CC	y codigo	25644	con preferencia	1

LA 	SEVEN UP PLASTICO DE 250	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP NF PET X9 0,250 L 	y codigo	21970	con preferencia	1

LA 	SEVEN UP PLASTICO DE 500 POR 12	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP PET X12 500 NF	y codigo	19336	con preferencia	2

LA 	SEVEN UP PLASTICO DE LITRO Y MEDIO POR 6	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP PET X6 1500 NF	y codigo	19337	con preferencia	3

LA 	SEVEN UP PLASTICO DE TRES LITROS POR 6	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP PET X6 3000 NF	y codigo	19339	con preferencia	1

LA 	SEVEN UP PLASTICO DE DOS LITROS Y CUARTO POR 8	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP PET X8 2250 NF	y codigo	19338	con preferencia	1

LA 	SEVEN UP PLASTICO DE 2250 POR 8	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP PET X8 2250 NF	y codigo	19338	con preferencia	1

LA 	SEVEN UP RETORNABLE DE DOS LITROS	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP RECO X8 2000 NF	y codigo	19341	con preferencia	1

LA 	SEVEN UP PLASTICO DE MEDIO POR 6	DE MARCA	SEVEN UP	 CON DESCRIPCION 	7-UP SA PET X6 500CC	y codigo	25643	con preferencia	1

LA 	ANDES ORIGEN VENDIMIA LATA  PACK DE 4	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIG VENDIMIA CAN 6X4 473CC 4PACK	y codigo	26441	con preferencia	1

LA 	ANDES ORIGEN FRESQUITA LATA PACK DE 4	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN FRESQUITA CAN 4X6 473CC 4P	y codigo	26220	con preferencia	2

LA 	ANDES ORIGEN FRESQUITA RETORNABLE DE LITRO	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN FRESQUITA RET X12 1000CC	y codigo	27580	con preferencia	2

LA 	ANDES ORIGEN IPA LATA	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN IPA CAN 4X6 473	y codigo	19254	con preferencia	2

LA 	ANDES ORIGEN IPA LATA PACK DE 4	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN IPA CAN 6X4 473CC 4PACK	y codigo	24961	con preferencia	1

LA 	ANDES ORIGEN IPA RETORNABLE DE LITRO	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN IPA RET X12 1000	y codigo	19253	con preferencia	1

LA 	ANDES ORIGEN IP RETORNABLE DE 340	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN IPA RET X24 340	y codigo	21984	con preferencia	1

LA 	ANDES ORIGEN IPA ROJA LATA	DE MARCA	ANDES	 CON DESCRIPCION 	ANDES ORIGEN IPA ROJA CAN 4X6 473CC	y codigo	25224	con preferencia	1
